,word,frequency
1519,testing,30
1520,beard,123
1521,em,1032
1522,waking,64
1523,wakes,45
1524,fake,43
1525,feeding,142
1526,quickly,158
1527,ringing,101
1528,dinnertime,20
1529,ann,87
1530,oddly,1
1531,combing,78
1532,bob,297
1533,evening,73
1534,ferocious,6
1535,hungrier,4
1536,alive,161
1537,moving,361
1538,thank,2524
1539,eleven,276
1540,stood,93
1541,short,309
1542,sherry,10
1543,oclock,320
1544,jake,10
1545,late,389
1546,whom,69
1547,scratching,56
1548,shaving,51
1549,pulled,174
1550,arms,409
1551,kitchen,862
1552,zoo,744
1553,museum,289
1554,trunk,222
1555,opened,200
1556,unsnap,8
1557,lacing,4
1558,mistress,4
1559,song,1241
1560,jack,255
1561,sheep,768
1562,lane,18
1563,beautiful,733
1564,violin,103
1565,music,703
1566,squirrel,230
1567,dink,15
1568,kay,172
1569,needed,141
1570,wrist,59
1571,sleeve,104
1572,gentle,365
1573,dial,60
1574,thrown,35
1575,apparently,45
1576,understood,22
1577,birthday,1599
1578,picked,297
1579,stronger,35
1580,generous,18
1581,heart,299
1582,bu,33
1583,miss,625
1584,bout,465
1585,days,507
1586,nicer,51
1587,pencil,560
1588,latest,14
1589,finding,103
1590,toe,348
1591,cleaning,321
1592,purse,213
1593,dingaling,11
1594,tree,1684
1595,snake,519
1596,barrette,123
1597,sweater,213
1598,alarm,44
1599,ticktock,18
1600,shush,9
1601,august,53
1602,date,52
1603,fixed,375
1604,gorgeous,40
1605,jumped,283
1606,swim,437
1607,lake,105
1608,foots,42
1609,jeff,52
1610,whether,161
1611,bark,113
1612,pic,8
1613,pool,353
1614,heavens,41
1615,mistake,154
1616,quiver,12
1617,ham,119
1618,dessert,169
1619,scrambled,75
1620,parrot,86
1621,drove,75
1622,wi,10
1623,office,231
1624,match,259
1625,piles,24
1626,besides,155
1627,bedspread,3
1628,lollipop,111
1629,frustrating,36
1630,remove,13
1631,goose,219
1632,tiger,544
1633,nurse,308
1634,pushing,285
1635,protected,12
1636,normal,29
1637,exercise,53
1638,thrower,7
1639,catcher,11
1640,age,112
1641,remembered,64
1642,lifting,20
1643,protection,9
1644,changed,250
1645,uncomfortable,30
1646,jeans,59
1647,fed,74
1648,filled,103
1649,stacked,9
1650,rug,322
1651,surface,38
1652,thread,40
1653,unlock,25
1654,swinging,113
1655,finally,146
1656,care,609
1657,past,152
1658,nearby,27
1659,sewn,4
1660,napping,13
1661,bringing,173
1662,rang,24
1663,bell,270
1664,mustnt,29
1665,hanging,245
1666,most,363
1667,enthusiastic,4
1668,smaller,143
1669,cardboard,43
1670,changing,98
1671,tried,271
1672,combed,36
1673,watched,111
1674,ours,100
1675,relate,6
1676,scarry,28
1677,differentiate,2
1678,fill,175
1679,respond,7
1680,plain,115
1681,wherever,72
1682,realize,79
1683,directing,3
1684,yard,230
1685,stomp,51
1686,carpenter,21
1687,appropriately,4
1688,consistently,6
1689,correct,41
1690,quibble,1
1691,distinct,2
1692,bill,234
1693,deliberately,9
1694,world,381
1695,attempt,5
1696,bunch,294
1697,body,358
1698,definitely,185
1699,naming,11
1700,pointed,75
1701,meal,90
1702,kissable,1
1703,kissed,91
1704,biting,155
1705,whack,13
1706,continue,28
1707,disappointed,25
1708,recent,6
1709,surprised,204
1710,ago,426
1711,early,391
1712,occasionally,10
1713,lit,27
1714,noticed,96
1715,perhaps,141
1716,sounding,10
1717,clearly,36
1718,sentence,60
1719,distinction,7
1720,self,72
1721,fascinated,19
1722,snaps,49
1723,associate,2
1724,specific,17
1725,worked,105
1726,jabbering,2
1727,disappearing,9
1728,amount,72
1729,understanding,11
1730,react,2
1731,differently,12
1732,seem,200
1733,vocal,2
1734,once,579
1735,pay,310
1736,otherwise,115
1737,easily,60
1738,tend,19
1739,dam,16
1740,pointing,147
1741,expression,17
1742,indicated,3
1743,significance,1
1744,guide,14
1745,manipulate,6
1746,appeared,39
1747,difficulty,5
1748,clothing,38
1749,manage,18
1750,selective,1
1751,sounded,76
1752,closer,156
1753,babble,8
1754,vocabulary,18
1755,grover,219
1756,spent,36
1757,especially,94
1758,mentioned,25
1759,hau,1
1760,contact,11
1761,recently,42
1762,grooming,5
1763,identifying,4
1764,although,98
1765,confused,75
1766,disturbed,3
1767,onto,255
1768,seemed,56
1769,moved,155
1770,peg,79
1771,constantly,12
